episode_id,setup_id,setup_hash,arm,beam_width_quartile,boundary_status,direction,k,amplitude,width_ratio,strict_success,final_normalized_target_distance,control_steps,saturation_count,constraint_violation_count,all_diagnostic_decisions_correct,any_diagnostic_decision_wrong
v12_mpcdiag_reflsig_iid_20260801_02_0001__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0001,30ba941af3ef7429dba52753832dd0e558c9f708b7fe44b5d7ae03a949d4b303,no_diagnosis,Q2,boundary,north_west,2.75,0.4,1.0,False,15.600586012970098,5,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0001__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0001,30ba941af3ef7429dba52753832dd0e558c9f708b7fe44b5d7ae03a949d4b303,oracle_diagnosis,Q2,boundary,north_west,2.75,0.4,1.0,True,0.5362160843440051,3,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0001__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0001,30ba941af3ef7429dba52753832dd0e558c9f708b7fe44b5d7ae03a949d4b303,learned_image_diagnostic,Q2,boundary,north_west,2.75,0.4,1.0,True,0.5362160843440051,3,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0002__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0002,4b2cd52b0e8f291aae29fb8036df8e87a0b699c45fbe52281c1feeaaef183320,no_diagnosis,Q2,boundary,north,2.75,0.5,1.0,False,14.49210545709127,8,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0002__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0002,4b2cd52b0e8f291aae29fb8036df8e87a0b699c45fbe52281c1feeaaef183320,oracle_diagnosis,Q2,boundary,north,2.75,0.5,1.0,False,5.51608142285787,7,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0002__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0002,4b2cd52b0e8f291aae29fb8036df8e87a0b699c45fbe52281c1feeaaef183320,learned_image_diagnostic,Q2,boundary,north,2.75,0.5,1.0,False,14.49210545709127,8,0,0,False,True
v12_mpcdiag_reflsig_iid_20260801_02_0003__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0003,416d656c1980be0099751d8138150990a1eacf200118a717a34fa74d16b786a5,no_diagnosis,Q1,boundary,south,2.75,0.5,1.0,False,3.921956396656981,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0003__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0003,416d656c1980be0099751d8138150990a1eacf200118a717a34fa74d16b786a5,oracle_diagnosis,Q1,boundary,south,2.75,0.5,1.0,True,0.5597647002763324,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0003__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0003,416d656c1980be0099751d8138150990a1eacf200118a717a34fa74d16b786a5,learned_image_diagnostic,Q1,boundary,south,2.75,0.5,1.0,False,3.921956396656981,4,0,0,False,True
v12_mpcdiag_reflsig_iid_20260801_02_0004__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0004,f110f547597b3ba86814f763dcd4e94ff793b86b9f81e29c5906ec45fc03f255,no_diagnosis,Q1,boundary,south,2.75,0.5,0.8,False,40.75623464215073,4,0,0,,
